,time,meanWaitTime,action,dispersion,headwaySD,disperion
1251,27615.0,262.0,No action,,965.1970720327089,15.055911224925305
1252,27629.0,265.9166666666667,No action,,963.6122337861412,15.20745920745921
1253,27633.0,269.9166666666667,No action,,963.4961866584123,15.20745920745921
1254,27639.0,264.59090909090907,No action,,961.7885061973408,15.001893939393938
1255,27642.0,267.59090909090907,No action,,961.1066907619082,14.944145285608704
1256,27644.0,258.3181818181818,No action,,960.9186055336089,14.944145285608704
1257,27676.0,278.0869565217391,No action,,959.5257454911052,15.009250398724083
1258,27681.0,283.0869565217391,No action,,961.316280570953,14.869472106221219
1259,27683.0,273.25,No action,,962.6236784971076,14.869472106221219
1260,27687.0,277.25,No action,,963.4768985167199,14.943722943722946
1261,27703.0,264.90909090909093,No action,,972.9762855459953,16.290867148998636
1262,27734.0,263.8695652173913,No action,,985.4685053835284,16.189393939393938
1263,27738.0,267.8695652173913,No action,,985.6779511289864,16.189393939393938
1264,27751.0,280.8695652173913,No action,,988.6606379296095,16.605844926129624
1265,27752.0,281.8695652173913,No action,,988.6656313792927,16.605844926129624
1266,27759.0,280.3636363636364,No action,,992.5362132015962,16.356734605844924
1267,27762.0,283.3636363636364,No action,,993.6794337654902,16.356734605844924
1268,27763.0,284.3636363636364,No action,,993.5495101614653,16.356734605844924
1269,27781.0,300.27272727272725,No action,,990.6797088716143,16.165349143610012
1270,27798.0,280.72,No action,,987.3897239069408,15.943389943389938
1271,27813.0,295.72,No action,,991.1989268242786,15.607066979760704
1272,27819.0,309.9166666666667,No action,,991.671633731041,15.566399286987526
1273,27830.0,323.6521739130435,No action,,992.8147141678031,15.74705546026301
1274,27843.0,306.0,No action,,994.3258444767621,15.713830029619501
1275,27847.0,310.0,No action,,995.6411196675796,15.713830029619501
1276,27848.0,311.0,No action,,996.2799162619583,15.713830029619501
1277,27857.0,316.76190476190476,No action,,1003.6709424602988,16.53698752228164
1278,27866.0,315.15,No action,,1005.5549365568321,16.610757016661076
1279,27882.0,323.3157894736842,No action,,1005.0316911955041,16.53698752228164
1280,27886.0,327.3157894736842,No action,,1004.4158626475617,16.53698752228164
1281,27890.0,331.3157894736842,No action,,1002.8013545988576,16.49904246930269
1282,27902.0,326.55,No action,,1003.2429073734335,16.189989785495406
1283,27903.0,327.55,No action,,1010.1514148423987,16.189989785495406
1284,27916.0,312.2,No action,,1008.3444360590238,16.032686414708884
1285,27925.0,305.95238095238096,No action,,1005.6889452710467,15.822527158376216
1286,27926.0,306.95238095238096,No action,,1005.1070942821054,15.822527158376216
1287,27957.0,297.125,No action,,991.4325675233433,16.209683037269254
